"productcategory","productname","productimageurl"
"[""Kadın"",""Gömlek ve Bluz""]","Kol Ucu Dantel Detaylı Bluz","https://akcdn3.lcwaikiki.com/ProductImages/20181/2/3005326/M_20181-8S1398Z8-X07_A.jpg"
"[""Erkek"",""Sweatshirt""]","Fermuarlı Kapüşonlu Sweatshirt","https://akcdn3.lcwaikiki.com/ProductImages/20181/1/2956940/M_20181-8S0497Z8-L6K_A.jpg"
"[""Kız Çocuk"",""Elbise""]","Püskül Detaylı Elbise","https://akcdn3.lcwaikiki.com/ProductImages/20181/4/3098420/M_20181-8S6517Z4-HDA_A.jpg"
"[""Kız Bebek"",""Elbise""]","Kız Bebek Desenli Plikaşe Elbise","https://akcdn2.lcwaikiki.com/ProductImages/20181/5/3050962/M_20181-8S4139Z1-713_A.jpg"
"[""Erkek Bebek"",""Sweatshirt""]","Erkek Bebek Ekose Sweatshirt","https://akcdn3.lcwaikiki.com/ProductImages/20172/5/2924391/M_20172-7K8630Z1-763_A.jpg"
"[""Kadın"",""İç Giyim ve Pijama""]","Pijama Takımı","https://akstatic.lcwaikiki.com/ProductImages/20181/2/3113950/M_20181-8S8169Z8-G1W_A.jpg"
"[""Erkek Çocuk"",""Hırka ve Kazak""]","Çizgili Kazak","https://akcdn2.lcwaikiki.com/ProductImages/20172/4/2812059/M_20172-7K4581Z4-448_A.jpg"
"[""Kadın"",""Pantolon""]","Gabardin Kumaş Pantolon","http://static.lcwaikiki.com/ProductImages/20181/2/3052050/M_20181-8S4332Z8-CVL_A.jpg"
"[""Kadın"",""Tişört, Body ve Atlet""]","V Yaka Tişört","https://akcdn2.lcwaikiki.com/ProductImages/20181/2/3011732/M_20181-8S1701Z8-CVL_A.jpg"
"[""Kız Bebek"",""Tişört, Body ve Atlet""]","Kız Bebek Tişört","https://akstatic.lcwaikiki.com/ProductImages/20172/5/2736670/M_20172-7K1070Z1-CU9_A.jpg"
"[""Kadın"",""Jean""]","Twill Kemerli Jean Pantolon","https://akcdn2.lcwaikiki.com/ProductImages/20181/2/3121161/M_20181-8S9041Z8-HRC_A.jpg"
"[""Kadın"",""Hamile Giyim""]","Çizme Paça Hamile Jean Pantolon","https://akcdn1.lcwaikiki.com/ProductImages/20172/2/2882106/M_20172-7K6426Z8-309_A.jpg"
"[""Erkek"",""Spor Giyim""]","Rahat Kalıp Eşofman Altı","https://akcdn1.lcwaikiki.com/ProductImages/20181/1/2956960/M_20181-8S0499Z8-L6T_A.jpg"
"[""Kız Çocuk"",""Elbise""]","Fırfır ve Nakış Detaylı Elbise","https://akcdn2.lcwaikiki.com/ProductImages/20181/4/3142718/M_20181-8SH559Z4-622_A.jpg"
"[""Kız Bebek"",""Gömlek, Bluz ve Tunik""]","Kız Bebek Jean Gömlek","https://akcdn2.lcwaikiki.com/ProductImages/20172/5/2856019/M_20172-7K5565Z1-H45_A.jpg"
"[""Yatak Odası"",""Battaniye""]","Tek Kişilik Battaniye","https://akcdn1.lcwaikiki.com/ProductImages/20162/9/2942258/M_20162-7KH108Z8-713_A.jpg"
"[""Kadın"",""Hırka ve Kazak""]","Choker Yaka Kazak","https://akstatic.lcwaikiki.com/ProductImages/20172/2/2927172/V1/M_20172-7K9080Z8-CVL_5.jpg"
"[""Erkek"",""Aksesuar""]","Bere","https://akcdn1.lcwaikiki.com/ProductImages/20172/1/2913051/M_20172-7K7312Z8-HGU_A.jpg"
"[""Kız Bebek"",""Elbise""]","Kız Bebek Jean Elbise","https://akcdn2.lcwaikiki.com/ProductImages/20181/5/2973876/V1/M_20181-8S0690Z1-H45_A.jpg"
"[""Erkek"",""Kaban ve Mont""]","Kapüşonlu Kalın Mont","https://akcdn3.lcwaikiki.com/ProductImages/20172/1/2753747/M_20172-7K2312Z8-EPG_A.jpg"
"[""Kadın"",""Gömlek ve Bluz""]","Kol Ucu Dantel Detaylı Bluz","https://akcdn2.lcwaikiki.com/ProductImages/20181/2/3005326/M_20181-8S1398Z8-CVL_A.jpg"
"[""Kadın"",""Pantolon""]","Lastikli Bel Tayt Pantolon","https://akstatic.lcwaikiki.com/ProductImages/20181/2/3222761/M_20181-8SD503Z8-CVL_A.jpg"
"[""Genç Erkek"",""Tişört ve Atlet""]","Halloween Baskılı Tişört","https://akstatic.lcwaikiki.com/ProductImages/20172/3/2930986/M_20172-7K9766Z8-J0F_A.jpg"
"[""Genç Kız"",""Tişört, Body ve Atlet""]","Uzun Kollu File Tişört","https://akcdn2.lcwaikiki.com/ProductImages/20181/3/3151325/M_20181-8SI451Z8-CVL_A.jpg"
"[""Erkek"",""Spor Giyim""]","Real Madrid Spor Tişört","https://akcdn2.lcwaikiki.com/ProductImages/20172/1/3063195/V1/M_20172-7KK939Z8-J2A_5.jpg"
"[""Bebek & Çocuk"",""Bornoz""]","Mickey Mouse Bornoz","https://akcdn1.lcwaikiki.com/ProductImages/20162/10/2927160/M_20162-7K9078Z4-679_A.jpg"
"[""Erkek"",""Kaban ve Mont""]","Kapüşonlu Şişme Mont","https://akcdn2.lcwaikiki.com/ProductImages/20172/1/2699294/M_20172-7K0396Z8-KGU_A.jpg"
"[""Erkek"",""Kaban ve Mont""]","İnce Mont","https://akcdn1.lcwaikiki.com/ProductImages/20181/1/3024446/V1/M_20181-8S2224Z8-CVL_5.jpg"
"[""Kadın"",""Pantolon""]","Esnek Kumaş Gabardin Pantolon","https://akcdn3.lcwaikiki.com/ProductImages/20181/2/3154223/M_20181-8SI828Z8-JM6_5.jpg"
"[""Kız Bebek"",""Gömlek, Bluz ve Tunik""]","Kız Bebek Ekoseli Gömlek","https://akcdn1.lcwaikiki.com/ProductImages/20172/5/2809317/M_20172-7K4164Z1-983_A.jpg"
"[""Kadın"",""Pantolon""]","Bilek Boy Slim Pantolon","https://akstatic.lcwaikiki.com/ProductImages/20181/2/3114526/M_20181-8S8314Z8-HFH_B.jpg"
"[""Kız Bebek"",""Tulum""]","Kız Bebek Uyku Tulumu","https://akcdn3.lcwaikiki.com/ProductImages/20172/5/2809803/M_20172-7K4257Z1-355_A.jpg"
"[""Kız Bebek"",""Elbise""]","Bebe Yaka Jean Elbise","https://akstatic.lcwaikiki.com/ProductImages/20181/5/3090402/M_20181-8S6008Z1-507_D.jpg"
"[""Kadın"",""İç Giyim ve Pijama""]","Dantel Brezilya Külot 3'lü","https://akstatic.lcwaikiki.com/ProductImages/20181/2/3051433/M_20181-8S4219Z8-D6H_A.jpg"
"[""Erkek"",""Spor Giyim""]","Barcelona Spor Tişört","https://akcdn1.lcwaikiki.com/ProductImages/20172/1/3063187/M_20172-7KK936Z8-FEG_5.jpg"
"[""Kız Bebek"",""Tişört, Body ve Atlet""]","Kız Bebek Baskı Detaylı Tişört","https://akcdn2.lcwaikiki.com/ProductImages/20181/5/3048582/M_20181-8S3765Z1-HNX_A.jpg"
"[""Kadın"",""Elbise""]","Çiçek Desenli Elbise","https://akcdn2.lcwaikiki.com/ProductImages/20172/2/2937748/M_20172-7KG871Z8-674_5.jpg"
"[""Kız Bebek"",""Hırka ve Kazak""]","Kız Bebek Kapüşonlu Yelek","https://akstatic.lcwaikiki.com/ProductImages/20172/5/2889111/V1/M_20172-7K6642Z1-FVB_Z.jpg"
"[""Kız Bebek"",""Pantolon""]","Kız Bebek Fırfır Detaylı Salopet","https://akcdn3.lcwaikiki.com/ProductImages/20181/5/3048699/M_20181-8S3788Z1-GXN_A.jpg"
"[""Erkek Bebek"",""Sweatshirt""]","Erkek Bebek Ayıcık Baskılı Sweatshirt","https://akcdn3.lcwaikiki.com/ProductImages/20172/5/2998955/V1/M_20172-7KI266Z1-D5P_A.jpg"
"[""Genç Kız"",""Tişört, Body ve Atlet""]","Tişört","https://akcdn3.lcwaikiki.com/ProductImages/20172/3/2925486/M_20172-7K8860Z8-670_A.jpg"
"[""Genç Kız"",""Kaban, Mont ve Trençkot""]","Kapüşonlu Kalın Parka","https://akcdn1.lcwaikiki.com/ProductImages/20172/3/2757174/M_20172-7K2855Z8-AVB_A.jpg"
"[""Kadın"",""Jean""]","Bilek Boy Skinny Jean Pantolon","https://akcdn3.lcwaikiki.com/ProductImages/20181/2/3115175/M_20181-8S8439Z8-309_A.jpg"
"[""Kadın"",""Pantolon""]","Desenli Viskon Havuç Pantolon","https://akstatic.lcwaikiki.com/ProductImages/20181/2/3087876/M_20181-8S5885Z8-671_A.jpg"
"[""Kadın"",""Hırka ve Kazak""]","Düz İnce Hırka","https://akcdn2.lcwaikiki.com/ProductImages/20181/2/3048561/M_20181-8S3761Z8-H2T_A.jpg"
"[""Kadın"",""Hırka ve Kazak""]","Kareli Hırka","https://akcdn2.lcwaikiki.com/ProductImages/20172/2/2999301/M_20172-7KI316Z8-HFH_A.jpg"
"[""Kadın"",""Tunik""]","Sırtı Çiçek İşlemeli Gabardin Tunik","https://akcdn1.lcwaikiki.com/ProductImages/20181/2/3034025/V1/M_20181-8S2706Z8-FKR_5.jpg"
"[""Yatak Odası"",""Yastık Kılıfı""]","Minnie Mouse Yastık Kılıfı 2'li","https://akstatic.lcwaikiki.com/ProductImages/20162/9/2929474/M_20162-7K9590Z4-681_A.jpg"
"[""Kız Bebek"",""Eşofman""]","Minnie Mouse Baskılı Tayt","https://akcdn3.lcwaikiki.com/ProductImages/20181/5/3121559/M_20181-8S9117Z1-LT4_A.jpg"
"[""Erkek"",""Kaban ve Mont""]","Kapüşonlu Kalın Mont","https://akcdn3.lcwaikiki.com/ProductImages/20172/1/2753747/M_20172-7K2312Z8-JWN_A.jpg"
"[""Genç Erkek"",""Ceket ve Yelek""]","Şişme Yelek","https://akcdn3.lcwaikiki.com/ProductImages/20172/3/2775753/M_20172-7K3531Z8-JJS_A.jpg"
