"productcategory","productname","productimageurl"
"[""Erkek Çocuk"",""Ayakkabı ve Terlik""]","Bağcıklı Spor Ayakkabı","https://akcdn2.lcwaikiki.com/ProductImages/20181/4/3089788/M_20181-8S5912Z4-KE8_A.jpg"
"[""Kadın"",""Jean""]","Super Slim Jean Pantolon","https://akcdn2.lcwaikiki.com/ProductImages/20181/2/3122363/V2/M_20181-8S9307Z8-309_5.jpg"
"[""Kadın"",""Jean""]","Super Slim Jean Pantolon","https://akstatic.lcwaikiki.com/ProductImages/20181/2/3122363/V1/M_20181-8S9307Z8-H45_5.jpg"
"[""Kadın"",""Ayakkabı ve Terlik""]","Parlak Detaylı Spor Ayakkabı","https://akcdn3.lcwaikiki.com/ProductImages/20181/2/3151451/M_20181-8SI487Z8-G8Z_A.jpg"
"[""Kız Bebek"",""Şort ve Capri""]","Kız Bebek Nakışlı Jean Şort","https://akcdn3.lcwaikiki.com/ProductImages/20181/5/3003440/M_20181-8S1284Z1-507_A.jpg"
"[""Kız Bebek"",""Tulum""]","Hello Kitty Baskılı Tulum","https://akcdn3.lcwaikiki.com/ProductImages/20181/5/3115276/M_20181-8S8449Z1-847_A.jpg"
"[""Kadın"",""Etek""]","Pileli Midi Etek","https://akstatic.lcwaikiki.com/ProductImages/20181/2/3114064/M_20181-8S8191Z8-D5C_A.jpg"
"[""Erkek"",""Hırka ve Kazak""]","V yaka Hırka","https://akcdn1.lcwaikiki.com/ProductImages/20172/1/2914793/V1/M_20172-7K7489Z8-J0F_5.jpg"
"[""Kadın"",""Gömlek ve Bluz""]","Yakası İşleme Detaylı Bluz","https://akcdn1.lcwaikiki.com/ProductImages/20181/2/2955014/M_20181-8S0427Z8-KFW_A.jpg"
"[""Kadın"",""Ceket ve Yelek""]","Yırtık Detaylı Jean Ceket","https://akstatic.lcwaikiki.com/ProductImages/20181/2/3115335/M_20181-8S8462Z8-507_A.jpg"
"[""Erkek"",""Kaban ve Mont""]","İnce Mont","https://akstatic.lcwaikiki.com/ProductImages/20172/1/2989774/M_20172-7KI124Z8-J2Y_A.jpg"
"[""Kadın"",""Kaban, Mont ve Trençkot""]","Kapüşonlu Kalın Şişme Mont","https://akcdn3.lcwaikiki.com/ProductImages/20172/2/2806308/M_20172-7K4011Z8-FPZ_A.jpg"
"[""Kadın"",""Pantolon""]","Beli Lastikli Esnek Pantolon","https://akcdn3.lcwaikiki.com/ProductImages/20181/2/2812062/M_20181-8S0016Z8-E1J_A.jpg"
"[""Erkek Bebek"",""İç Giyim ve Pijama""]","Erkek Bebek Çıtçıtlı Body 2'li","https://akcdn2.lcwaikiki.com/ProductImages/20172/5/3118777/M_20172-7KB261Z1-JPX_A.jpg"
"[""Kız Çocuk"",""Tişört, Body ve Atlet""]","Pul İşlemeli Tişört","https://akcdn1.lcwaikiki.com/ProductImages/20172/4/2935994/M_20172-7KG594Z4-FXB_A.jpg"
"[""Kız Bebek"",""Tişört, Body ve Atlet""]","Kız Bebek Baskılı Tişört","https://akcdn2.lcwaikiki.com/ProductImages/20172/5/2924517/M_20172-7K8666Z1-357_A.jpg"
"[""Kadın"",""Pantolon""]","Çiçek Desenli Palazzo Pantolon","https://akcdn3.lcwaikiki.com/ProductImages/20181/2/3183610/M_20181-8SB466Z8-681_A.jpg"
"[""Kız Bebek"",""Aksesuar""]","Kız Bebek Polar Astarlı Triko Bere","https://akcdn3.lcwaikiki.com/ProductImages/20172/5/2761940/M_20172-7K3209Z1-HLY_A.jpg"
"[""Erkek"",""Ceket ve Yelek""]","Dar Kalıp Blazer Ceket","https://akcdn3.lcwaikiki.com/ProductImages/20171/1/2922649/M_20171-7YC729Z8-J0F_A.jpg"
"[""Kadın"",""Tişört, Body ve Atlet""]","Baskılı Kısa Kollu Tişört","https://akcdn1.lcwaikiki.com/ProductImages/20171/2/2747979/M_20171-7YI136Z8-HFH_A.jpg"
"[""Kadın"",""Pantolon""]","Bilek Boy Slim Pantolon","https://akcdn3.lcwaikiki.com/ProductImages/20181/2/3154786/V2/M_20181-8SI897Z8-HMW_5.jpg"
"[""Kadın"",""Tişört, Body ve Atlet""]","V Yaka Kısa Kollu Tişört","https://akstatic.lcwaikiki.com/ProductImages/20171/2/2675104/M_20171-7Y7123Z8-K7L_A.jpg"
"[""Kız Çocuk"",""Hırka ve Kazak""]","Fırfır Detaylı Bolero","https://akcdn3.lcwaikiki.com/ProductImages/20181/4/3183873/M_20181-8SB518Z4-FDU_A.jpg"
"[""Kız Çocuk"",""Elbise""]","Önü Kısa Desenli Elbise","https://akcdn2.lcwaikiki.com/ProductImages/20181/4/3149654/V1/M_20181-8SI243Z4-H3S_A.jpg"
"[""Kadın"",""Hırka ve Kazak""]","Yakası İnci İşlemeli Kısa Kol Kazak","https://akcdn1.lcwaikiki.com/ProductImages/20181/2/3171059/M_20181-8SA113Z8-EEW_A.jpg"
"[""Kadın"",""Elbise""]","Yakası Metal Detaylı Elbise","https://akcdn3.lcwaikiki.com/ProductImages/20172/2/3026023/M_20172-7KJ657Z8-KA4_B.jpg"
"[""Kadın"",""Tişört, Body ve Atlet""]","Yazı Baskılı Tişört","https://akstatic.lcwaikiki.com/ProductImages/20181/2/3142088/M_20181-8SH477Z8-EEW_A.jpg"
"[""Kadın"",""Elbise""]","Yakası Fermuarlı Uzun Kollu Elbise","https://akcdn2.lcwaikiki.com/ProductImages/20172/2/3033852/V1/M_20172-7KJ880Z8-KFV_A.jpg"
"[""Erkek"",""Gömlek""]","Uzun Kollu Gömlek","https://akcdn2.lcwaikiki.com/ProductImages/20181/1/3013970/M_20181-8S1833Z8-EDR_A.jpg"
"[""Kadın"",""İç Giyim ve Pijama""]","Korse","https://akcdn1.lcwaikiki.com/ProductImages/20172/2/2912428/M_20172-7K7201Z8-J5E_A.jpg"
"[""Kadın"",""İç Giyim ve Pijama""]","Ayarlanabilir Askılı Pedli Sütyen","https://akcdn1.lcwaikiki.com/ProductImages/20172/2/2930195/M_20172-7K9704Z8-J5E_A.jpg"
"[""Kadın"",""Tunik""]","Yakası Nakışlı Kadife Tunik","https://akcdn2.lcwaikiki.com/ProductImages/20172/2/3160629/M_20172-7KC124Z8-CVL_A.jpg"
"[""Kadın"",""Jean""]","Slim Jean Pantolon","https://akcdn2.lcwaikiki.com/ProductImages/20181/2/3008033/M_20181-8S1475Z8-563_A.jpg"
"[""Kadın"",""Spor Giyim"",""Kadın"",""Jean"",""Kadın"",""Jean""]","[""Esofman Alti - 8S1518Z8"",""Pantolon - 8S8439Z8"",""Pantolon - 8S8406Z8""]","[""https://akcdn1.lcwaikiki.com/ProductImages/20181/2/3009083/S_20181-8S1518Z8-CVL_A.jpg"",""http://akstatic.lcwaikiki.com/ProductImages/20181/2/3115175/S_20181-8S8439Z8-309_A.jpg"",""https://akcdn1.lcwaikiki.com/ProductImages/20181/2/3115018/S_20181-8S8406Z8-309_A.jpg""]"
"[""Kız Çocuk"",""Elbise""]","Çiçek Desenli Elbise","http://akcdn2.lcwaikiki.com/ProductImages/20181/4/3004976/M_20181-8S1302Z4-998_A.jpg"
"[""Kadın"",""Gömlek ve Bluz""]","Dantel Detaylı Bluz","http://akstatic.lcwaikiki.com/ProductImages/20172/2/2940834/M_20172-7KH065Z8-JD6_A.jpg"
"[""Erkek"",""Pantolon""]","Standart Kalıp Pantolon","http://static.lcwaikiki.com/ProductImages/20181/1/2933897/M_20181-8S0284Z8-NOS_A.jpg"
"[""Cocuk"",""Kiz Cocuk"",""Tisort, Body ve Atlet""]","Tisort - 7K0604Z4","http://akcdn3.lcwaikiki.com/ProductImages/20172/4/2713806/M_20172-7K0604Z4-E5X_A.jpg"
"[""Kadın"",""Spor Giyim""]","Eşofman Altı","http://akstatic.lcwaikiki.com/ProductImages/20181/2/3009083/M_20181-8S1518Z8-CVL_A.jpg"
"[""Kadın"",""Jean""]","Kısa Paça Dar Jean Pantolon","http://akstatic.lcwaikiki.com/ProductImages/20172/2/3010656/M_20172-7KI910Z8-309_A.jpg"
"[""Kadin"",""Kadin"",""Pantolon""]","Tayt - 7K7422Z8","https://akcdn1.lcwaikiki.com/ProductImages/20172/2/2914423/M_20172-7K7422Z8-CVL_A.jpg"
"[""Cocuk"",""Kiz Cocuk"",""Elbise""]","Elbise - 8S5685Z4","http://akstatic.lcwaikiki.com/ProductImages/20181/4/3075536/M_20181-8S5685Z4-FX2_Z.jpg"
"[""Kadin"",""Kadin"",""Tisort, Body ve Atlet""]","Tisort - 7KH134Z8","http://akcdn3.lcwaikiki.com/ProductImages/20172/2/2948302/M_20172-7KH134Z8-CVL_A.jpg"
"[""Kadın"",""Tunik""]","Leopar Desenli Tunik","http://akstatic.lcwaikiki.com/ProductImages/20172/2/3012698/M_20172-7KJ012Z8-355_A.jpg"
"[""Erkek Bebek"",""Sweatshirt""]","Erkek Bebek Dinazor Baskılı Sweatshirt","http://akcdn2.lcwaikiki.com/ProductImages/20181/5/2973816/M_20181-8S0676Z1-L4C_A.jpg"
"["""",""""]","[""Esofman Alti - 8S7375Z8"",""Tisort - 7KB962Z8"",""Tisort - 7K6507Z8"",""Pantolon - 7K6436Z8""]","[""http://akcdn2.lcwaikiki.com/ProductImages/20181/2/3109243/S_20181-8S7375Z8-CVL_A.jpg"",""http://akstatic.lcwaikiki.com/ProductImages/20172/2/3151626/S_20172-7KB962Z8-CVL_A.jpg"","""",""""]"
"[""Kadın"",""Hırka ve Kazak""]","Kazak","http://akcdn2.lcwaikiki.com/ProductImages/20172/2/3015486/M_20172-7KJ352Z8-A1O_A.jpg"
"[""Kadın"",""İç Giyim ve Pijama""]","Dantel Detaylı Askılı Gecelik","https://akcdn1.lcwaikiki.com/ProductImages/20181/2/3109162/M_20181-8S7366Z8-FWJ_B.jpg"
"[""Kız Çocuk"",""Etek""]","Dantel Detaylı Etek","http://akstatic.lcwaikiki.com/ProductImages/20181/4/2927790/M_20181-8S0150Z4-GYA_A.jpg"
"[""Erkek"",""İç Giyim ve Pijama""]","Pijama Alt","https://akcdn1.lcwaikiki.com/ProductImages/20172/1/3095140/M_20172-7KA405Z8-CRV_A.jpg"
"[""Erkek Çocuk"",""Sweatshirt""]","Fermuarlı Kapüşonlu Sweatshirt","http://akstatic.lcwaikiki.com/ProductImages/20172/4/2710689/M_20172-7K0540Z4-JC7_A.jpg"
"[""Kadın"",""Spor Giyim"",""Kız Bebek"",""Hırka ve Kazak"",""Kadın"",""Aksesuar""]","[""Tayt - 7KI864Z8"",""Hirka - 7K4767Z1"",""Kemer - 7K5305Z8""]","[""http://akcdn2.lcwaikiki.com/ProductImages/20172/2/3010474/V1/S_20172-7KI864Z8-671_A.jpg"",""http://akcdn3.lcwaikiki.com/ProductImages/20172/5/2813764/S_20172-7K4767Z1-GEB_A.jpg"",""http://akcdn2.lcwaikiki.com/ProductImages/20172/2/2845206/S_20172-7K5305Z8-HUC_A.jpg""]"
"[""Kadin"",""Kadin"",""Tunik""]","Tunik - 8S2707Z8","http://akcdn2.lcwaikiki.com/ProductImages/20181/2/3034028/V1/M_20181-8S2707Z8-FKR_5.jpg"
"[""Kadın"",""İç Giyim ve Pijama""]","Desenli Pijama Takımı","http://akstatic.lcwaikiki.com/ProductImages/20181/2/3107752/V2/M_20181-8S7173Z8-FDU_A.jpg"
"[""Erkek"",""Kaban ve Mont""]","Kaşe Kaban","http://akcdn3.lcwaikiki.com/ProductImages/20172/1/2935038/M_20172-7KG345Z8-455_A.jpg"
"[""Genç Kız"",""Tişört, Body ve Atlet""]","Kamuflaj Desenli Tişört","http://static.lcwaikiki.com/ProductImages/20181/3/3189530/M_20181-8SC002Z8-708_A.jpg"
"[""Erkek"",""Hırka ve Kazak""]","Kalın Hırka","http://akcdn2.lcwaikiki.com/ProductImages/20172/1/2737910/M_20172-7K1129Z8-CS6_A.jpg"
"[""Kadın"",""Sweatshirt""]","Sweatshirt","http://akcdn3.lcwaikiki.com/ProductImages/20172/2/2932476/M_20172-7KG074Z8-JRQ_A.jpg"
"[""Kız Çocuk"",""Elbise""]","Aplikeli Elbise ve Külotlu Çorap","https://akcdn1.lcwaikiki.com/ProductImages/20172/4/2758769/M_20172-7K3019Z4-355_A.jpg"
"[""Erkek"",""Kaban ve Mont""]","Kaşe Kaban","http://akstatic.lcwaikiki.com/ProductImages/20172/1/2935038/V1/M_20172-7KG345Z8-456_A.jpg"
"[""Erkek"",""Tişört ve Atlet""]","Uzun Kollu Bisiklet Yaka Tişört","http://akstatic.lcwaikiki.com/ProductImages/20181/1/2990133/M_20181-8S0989Z8-L6T_A.jpg"
"[""Bebek & Çocuk"",""Nevresim""]","Çift Taraflı Çocuk Nevresim Takımı","http://akstatic.lcwaikiki.com/ProductImages/20162/10/3172820/M_20162-8SA370Z4-F9C_A.jpg"
"[""Yaşam Alanı"",""Kırlent""]","Gri Kırlent","https://akcdn1.lcwaikiki.com/ProductImages/20162/8/2735371/M_20162-7YH479Z8-D4M_A.jpg"
"[""Kız Bebek"",""Aksesuar""]","Kaydırmaz Tabanlı Soket Çorap 5'li","http://akcdn2.lcwaikiki.com/ProductImages/20172/5/2914646/M_20172-7K7465Z1-673_A.jpg"
"[""Kadın"",""Sweatshirt""]","Sweatshirt","http://akstatic.lcwaikiki.com/ProductImages/20181/2/3174350/M_20181-8SA510Z8-CVL_A.jpg"
"[""Yatak Odası"",""Battaniye""]","Çift Kişilik Battaniye","http://akstatic.lcwaikiki.com/ProductImages/20162/9/2912919/M_20162-7K7284Z8-E1Y_A.jpg"
"[""Kız Çocuk"",""Tişört, Body ve Atlet""]","Tişört ve Atlet Takım","http://akstatic.lcwaikiki.com/ProductImages/20171/4/2665581/M_20171-7Y6329Z4-J3P_A.jpg"
"[""""]","Elbise - 8S2924Z4","https://akcdn1.lcwaikiki.com/ProductImages/20181/4/3034713/S_20181-8S2924Z4-D3W_A.jpg"
"[""Erkek Çocuk"",""Sweatshirt""]","Kapüşonlu Sweatshirt","http://akcdn2.lcwaikiki.com/ProductImages/20172/4/2883152/M_20172-7K6551Z4-355_A.jpg"
"[""Kız Çocuk"",""Aksesuar""]","Çift Yönlü Payetli Bere","http://akstatic.lcwaikiki.com/ProductImages/20181/4/3105913/M_20181-8S6820Z4-D5C_A.jpg"
"[""Erkek"",""Tişört ve Atlet""]","Uzun Kollu Bisiklet Yaka Tişört","http://akcdn2.lcwaikiki.com/ProductImages/20181/1/2990133/M_20181-8S0989Z8-HRZ_A.jpg"
"[""Bebek"",""Kiz Bebek"",""Elbise""]","Elbise - 7KA675Z1","https://akcdn1.lcwaikiki.com/ProductImages/20172/5/3110726/M_20172-7KA675Z1-L4E_A.jpg"
"[""Erkek"",""Tişört ve Atlet""]","Kısa Kollu Bisiklet Yaka Tişört","http://akcdn2.lcwaikiki.com/ProductImages/20171/1/2643527/M_20171-7Y3846Z8-DWP_A.jpg"
"[""Kadin"",""Kadin"",""Kaban, Mont ve Trenckot""]","Mont - 7K5741Z8","http://akcdn2.lcwaikiki.com/ProductImages/20172/2/2860035/M_20172-7K5741Z8-F9C_A.jpg"
"[""Kadın"",""Ayakkabı ve Terlik""]","Bağcıklı Spor Ayakkabısı","http://akstatic.lcwaikiki.com/ProductImages/20181/2/3041110/M_20181-8S3084Z8-E0N_A.jpg"
"[""Erkek"",""Sweatshirt""]","Sweatshirt","http://akcdn3.lcwaikiki.com/ProductImages/20172/1/2867884/V3/M_20172-7K5835Z8-DWP_A.jpg"
"[""Kadın"",""Hamile Giyim""]","Hamile Gecelik","http://akcdn3.lcwaikiki.com/ProductImages/20172/2/3122707/M_20172-7KB420Z8-702_A.jpg"
"[""Kadın"",""Pantolon""]","Bilek Boy Havuç Pantolon","http://akcdn2.lcwaikiki.com/ProductImages/20181/2/3051841/M_20181-8S4284Z8-E1J_A.jpg"
"[""Erkek"",""Tişört ve Atlet""]","Kısa Kollu Bisiklet Yaka Tişört","http://akcdn3.lcwaikiki.com/ProductImages/20171/1/2643527/M_20171-7Y3846Z8-L8K_A.jpg"
"[""Erkek"",""Şort ve Roller""]","Şort","http://akcdn2.lcwaikiki.com/ProductImages/20171/1/2705190/M_20171-7YG211Z8-EWT_A.jpg"
"[""Erkek"",""Kaban ve Mont""]","Deri Görünümlü İnce Mont","http://akstatic.lcwaikiki.com/ProductImages/20172/1/2744221/V3/M_20172-7K1208Z8-J0F_5.jpg"
"[""Erkek Çocuk"",""Sweatshirt""]","Batman Fermuarlı Sweatshirt","http://akstatic.lcwaikiki.com/ProductImages/20181/4/3143630/M_20181-8SH670Z4-CVL_A.jpg"
"[""Genc"",""Genc Kiz"",""Sweatshirt""]","Sweatshirt - 8SG143Z8","https://akcdn1.lcwaikiki.com/ProductImages/20181/3/3130173/V2/M_20181-8SG143Z8-355_A.jpg"
"[""Erkek"",""Hırka ve Kazak""]","Kalın Kazak","http://akstatic.lcwaikiki.com/ProductImages/20172/1/2744148/M_20172-7K1192Z8-J2Y_A.jpg"
"[""Kız Çocuk"",""Elbise""]","Aplikeli Elbise ve Külotlu Çorap","http://akcdn2.lcwaikiki.com/ProductImages/20172/4/2758772/M_20172-7K3020Z4-357_A.jpg"
"[""Kız Bebek"",""Ceket ve Yelek"",""Kadın"",""Aksesuar"",""Kız Bebek"",""Aksesuar"",""Kız Bebek"",""Tişört, Body ve Atlet""]","[""Yelek - 8S8093Z1"",""Kulotlu Corap - 7KJ367Z8"",""Corap 3'lu - 8S7274Z1"",""Tisort - 7KK918Z1""]","[""https://akcdn1.lcwaikiki.com/ProductImages/20181/5/3113704/S_20181-8S8093Z1-507_A.jpg"",""http://akcdn2.lcwaikiki.com/ProductImages/20172/2/3017331/V1/S_20172-7KJ367Z8-CVL_A.jpg"",""http://akstatic.lcwaikiki.com/ProductImages/20181/5/3108553/S_20181-8S7274Z1-A1P_A.jpg"",""http://akcdn2.lcwaikiki.com/ProductImages/20172/5/3057908/S_20172-7KK918Z1-674_A.jpg""]"
"[""Erkek"",""Erkek"",""Gomlek""]","Gomlek - 7KG457Z8","http://akstatic.lcwaikiki.com/ProductImages/20172/1/2935469/M_20172-7KG457Z8-717_A.jpg"
"[""Erkek"",""Sweatshirt""]","Polo Yaka Sweatshirt","http://akstatic.lcwaikiki.com/ProductImages/20172/1/2867373/M_20172-7K5827Z8-DWP_A.jpg"
"[""Cocuk"",""Kiz Cocuk"",""Elbise""]","Elbise - 7K5233Z4","http://akcdn3.lcwaikiki.com/ProductImages/20172/4/2844927/M_20172-7K5233Z4-HPM_A.jpg"
"[""Kız Bebek"",""Yenidoğan""]","Organik Pamuklu Takım 3'lü","http://akstatic.lcwaikiki.com/ProductImages/20172/5/2990060/V1/M_20172-7KI172Z1-FDU_5.jpg"
"[""Erkek"",""Hırka ve Kazak""]","Kalın Kazak","http://akcdn2.lcwaikiki.com/ProductImages/20172/1/2744148/M_20172-7K1192Z8-HZX_A.jpg"
"[""Erkek"",""Kaban ve Mont""]","Kapüşonlu Kalın Şişme Mont","http://akcdn3.lcwaikiki.com/ProductImages/20172/1/2802158/M_20172-7K3816Z8-CYA_Z.jpg"
"[""Erkek Çocuk"",""Hırka ve Kazak""]","Fermuarlı Yelek","https://akcdn1.lcwaikiki.com/ProductImages/20172/4/3012735/M_20172-7KJ028Z4-HFH_A.jpg"
"[""Kadın"",""Tunik""]","Kol Ucu Volanlı Çiçek Desenli Tunik","http://akstatic.lcwaikiki.com/ProductImages/20181/2/3109722/M_20181-8S7473Z8-LQJ_5.jpg"
"[""Kız Bebek"",""Hırka ve Kazak""]","[""Kazak - 7KK576Z1"",""Kazak - 7K9098Z1"",""Hirka - 7K4767Z1"",""Hirka - 8S2288Z1""]","[""https://akcdn1.lcwaikiki.com/ProductImages/20172/5/3052650/S_20172-7KK576Z1-FUT_A.jpg"",""http://static.lcwaikiki.com/ProductImages/20172/5/2927284/S_20172-7K9098Z1-G21_A.jpg"",""http://akcdn3.lcwaikiki.com/ProductImages/20172/5/2813764/S_20172-7K4767Z1-GEB_A.jpg"",""https://akcdn1.lcwaikiki.com/ProductImages/20181/5/3024991/S_20181-8S2288Z1-KWR_A.jpg""]"
"[""Kadın"",""İç Giyim ve Pijama""]","Dantel Brezilya Külot","http://static.lcwaikiki.com/ProductImages/20181/2/3050929/M_20181-8S4129Z8-GNS_A.jpg"
"[""Yatak Odası"",""Yastık Kılıfı"",""Erkek Çocuk"",""Aksesuar"",""Erkek Çocuk"",""Aksesuar"",""Erkek Çocuk"",""Kaban ve Mont""]","[""Yastik Kilifi 2'li - 7KH489Z8"",""Corap 4'lu - 7KA630Z4"",""Corap 4'lu - 7KA636Z4"",""Mont - 7K1619Z4""]","[""http://akcdn3.lcwaikiki.com/ProductImages/20162/9/2957706/S_20162-7KH489Z8-DSL_A.jpg"",""http://akcdn2.lcwaikiki.com/ProductImages/20172/4/3108934/S_20172-7KA630Z4-D7H_A.jpg"",""http://akcdn2.lcwaikiki.com/ProductImages/20172/4/3109054/S_20172-7KA636Z4-532_A.jpg"",""http://akcdn2.lcwaikiki.com/ProductImages/20172/4/2749494/S_20172-7K1619Z4-HJZ_A.jpg""]"
"[""Bebek"",""Kiz Bebek"",""Yenidogan""]","Hediye Seti - 7K7031Z1","http://akcdn2.lcwaikiki.com/ProductImages/20172/5/2910331/V1/M_20172-7K7031Z1-JPW_A.jpg"
"[""Kadın"",""Gömlek ve Bluz""]","Çizgili Bluz","http://akcdn3.lcwaikiki.com/ProductImages/20172/2/3161730/M_20172-7KC187Z8-LEG_A.jpg"
"[""Erkek"",""Kaban ve Mont""]","İnce Dik Yaka Mont","http://static.lcwaikiki.com/ProductImages/20181/1/2955386/M_20181-8S0452Z8-H2S_A.jpg"
"[""Kız Bebek"",""Gömlek, Bluz ve Tunik""]","Kız Bebek Yakası Nakışlı Bluz","http://akcdn3.lcwaikiki.com/ProductImages/20172/5/2871860/M_20172-7K6083Z1-EEW_A.jpg"
"[""Kadin"",""Kadin"",""Hirka ve Kazak""]","Kazak - 7K9080Z8","http://akstatic.lcwaikiki.com/ProductImages/20172/2/2927172/V1/M_20172-7K9080Z8-CVL_5.jpg"
"[""Kadın"",""İç Giyim ve Pijama""]","Desenli Pijama Takımı","http://akcdn2.lcwaikiki.com/ProductImages/20172/2/3127980/V1/M_20172-7KB563Z8-CRP_A.jpg"
"[""Erkek"",""Gömlek""]","Ekose Uzun Kollu Gömlek","http://akstatic.lcwaikiki.com/ProductImages/20181/1/3117553/M_20181-8S8632Z8-CRJ_A.jpg"
"[""Erkek"",""Hırka ve Kazak""]","Balıkçı Yaka Kazak","http://akstatic.lcwaikiki.com/ProductImages/20172/1/2872345/M_20172-7K6219Z8-JHE_A.jpg"
"[""Genç Kız"",""Elbise""]","Nakış ve Fırfır Detaylı Balon Kol Elbise","http://akcdn2.lcwaikiki.com/ProductImages/20181/3/3136428/V1/M_20181-8SG994Z8-CVL_A.jpg"
"[""Erkek"",""Kaban ve Mont""]","Kapüşonlu İnce Softshell Mont","http://static.lcwaikiki.com/ProductImages/20181/1/3156096/M_20181-8SJ053Z8-HDU_A.jpg"
"[""Kız Çocuk"",""Spor Giyim""]","Uzun Tayt","https://akcdn1.lcwaikiki.com/ProductImages/20181/4/3003546/M_20181-8S1291Z4-CTH_A.jpg"
"[""Kız Çocuk"",""Ayakkabı ve Terlik""]","Bağcıklı Spor Ayakkabı","https://akcdn1.lcwaikiki.com/ProductImages/20181/4/2999316/M_20181-8S1150Z4-E6T_A.jpg"
"[""Erkek"",""Ayakkabı ve Terlik""]","Bağcıklı Spor Ayakkabısı","http://akcdn3.lcwaikiki.com/ProductImages/20181/1/3052541/M_20181-8S4434Z8-CRP_A.jpg"
"[""Kadin"",""Kadin"",""Spor Giyim""]","Tayt - 7K7420Z8","http://akcdn2.lcwaikiki.com/ProductImages/20172/2/2914401/M_20172-7K7420Z8-CVE_A.jpg"
"[""Erkek Bebek"",""Ayakkabı ve Terlik""]","Erkek Bebek Işıklı Spor Ayakkabı ","http://akcdn3.lcwaikiki.com/ProductImages/20181/5/3049825/V5/M_20181-8S4017Z1-CSN_A.gif"
"[""Erkek Bebek"",""Yenidoğan""]","Yenidoğan Takım 3'lü","https://akcdn1.lcwaikiki.com/ProductImages/20172/5/2913455/M_20172-7K7390Z1-799_A.jpg"
"[""Kadın"",""Gömlek ve Bluz""]","Kolları Bağlama Detaylı Çizgili Bluz","http://akcdn2.lcwaikiki.com/ProductImages/20182/2/3183024/M_20182-8W1789Z8-033_5.jpg"
"[""Erkek"",""Jean""]","Standart Kalıp Jean Pantolon","http://akcdn3.lcwaikiki.com/ProductImages/20172/1/2870731/M_20172-7K5948Z8-326_A.jpg"
"[""Kadın"",""Kaban, Mont ve Trençkot""]","Kısa Şişme Mont","https://akcdn1.lcwaikiki.com/ProductImages/20181/2/2964527/M_20181-8S0604Z8-CVL_B.jpg"
"[""Kadın"",""Tişört, Body ve Atlet""]","Uzun Kollu Tişört","http://akstatic.lcwaikiki.com/ProductImages/20162/2/2536103/M_20162-6K2381Z8-1EB_A.jpg"
"[""Mutfak"",""Mutfak Tekstili""]","Minnie Mouse Mutfak Önlüğü         ","http://akcdn3.lcwaikiki.com/ProductImages/20162/6/3005136/V1/M_20162-7KI540Z8-671_A.jpg"
"[""Kadın"",""Hırka ve Kazak""]","Ekose Kapüşonlu Hırka","http://akstatic.lcwaikiki.com/ProductImages/20172/2/2910015/M_20172-7K6969Z8-H70_A.jpg"
"[""Erkek"",""İç Giyim ve Pijama""]","Kısa Kollu Fanila","https://akcdn1.lcwaikiki.com/ProductImages/20172/1/2913317/M_20172-7K7362Z8-D6X_A.jpg"
"[""Kadın"",""Hamile Giyim""]","Fonksiyonel Hamile Parka","https://akcdn1.lcwaikiki.com/ProductImages/20181/2/2957680/M_20181-8S0536Z8-ASE_A.jpg"
"[""Kız Çocuk"",""Hırka ve Kazak""]","Kalp Desenli Tüylü Kazak","http://akcdn3.lcwaikiki.com/ProductImages/20172/4/2832255/V1/M_20172-7K5141Z4-003_A.jpg"
"[""Kadın"",""Gömlek ve Bluz""]","Çizgili Gömlek","https://akcdn1.lcwaikiki.com/ProductImages/20181/2/3026070/M_20181-8S2407Z8-LFX_A.jpg"
"[""Erkek Çocuk"",""Şort ve Roller""]","Şort","http://akcdn3.lcwaikiki.com/ProductImages/20171/4/2918518/M_20171-7YC465Z4-J0T_A.jpg"
"[""Erkek"",""İç Giyim ve Pijama""]","Pijama Takım","https://akcdn1.lcwaikiki.com/ProductImages/20172/1/2974838/M_20172-7KH790Z8-355_A.jpg"
"[""Kadın"",""Hırka ve Kazak""]","Bisiklet Yaka Kazak","http://akcdn2.lcwaikiki.com/ProductImages/20172/2/3167468/M_20172-7KC293Z8-DD0_A.jpg"
"[""Kız Çocuk"",""Elbise""]","Baskılı Elbise","http://static.lcwaikiki.com/ProductImages/20181/4/3096238/M_20181-8S6492Z4-LQB_A.jpg"
"[""Genç Kız"",""İç Giyim ve Pijama""]","Desenli Pijama Takımı","http://static.lcwaikiki.com/ProductImages/20181/3/3172411/M_20181-8SA269Z8-G8G_Z.jpg"
"[""Kadın"",""Aksesuar""]","Deri Görünümlü Ponpon Detaylı Eldiven","http://akcdn2.lcwaikiki.com/ProductImages/20172/2/2814294/M_20172-7K4784Z8-HUC_A.jpg"
"[""Kadın"",""Tişört, Body ve Atlet""]","Aplikeli Tişört","http://akcdn2.lcwaikiki.com/ProductImages/20181/2/3068386/M_20181-8S5420Z8-CT3_C.jpg"
"[""Kadın"",""Tişört, Body ve Atlet""]","Kolları Volanlı Tişört","http://static.lcwaikiki.com/ProductImages/20181/2/3184344/M_20181-8SB601Z8-HPM_A.jpg"
"[""Kız Bebek"",""Ceket ve Yelek""]","Kız Bebek Jean Yelek","http://akstatic.lcwaikiki.com/ProductImages/20181/5/3113704/M_20181-8S8093Z1-507_A.jpg"
